Entity	Code	Year	"GDP per capita, PPP (constant 2017 international $)"	Population (historical estimates)	"Homicide rate per 100,000 population - Both sexes - All ages"	Life expectancy - Sex: all - Age: at birth - Variant: estimates	Cantril ladder score
Cameroon	CMR	2016	3667.3228	23711626	3.3190465	60.2	4.695
Bangladesh	BGD	2014	4119.425	155961312	2.8943079	70	4.694
Mozambique	MOZ	2011	1092.7732	23760424	3.573169	54.9	4.692764
Iran	IRN	2014	14538.521	79961672	2.42116	74.8	4.686
Ukraine	UKR	2014	12385.813	45148072	6.301487	72.6	4.681
China	CHN	2011	9680.098	1357095424	0.8853467	75.9	4.679718
Armenia	ARM	2019	14317.553	2820604	2.5881004	75.4	4.6768
Georgia	GEO	2019	14989.258	3770814	2.0420012	73.5	4.6726
Ghana	GHA	2017	4929.568	30222266	2.015071	64	4.657
Albania	ALB	2015	11880.598	2882482	2.22031	78.6	4.655
Albania	ALB	2016	12294.077	2881064	2.7420435	78.9	4.644
Bangladesh	BGD	2015	4337.3857	157830000	2.556548	70.5	4.643
South Africa	ZAF	2014	13993.2705	54729556	32.5327	63.4	4.642
Namibia	NAM	2018	10266.171	2405682	19.7865	62.6	4.6392
Uganda	UGA	2020	2240.4902	44404608	10.044002	62.9	4.6365
Sierra Leone	SLE	2015	1513.562	7314779	1.6951996	57.2	4.635
Jordan	JOR	2019	9551.165	10698682	1.1403272	76	4.6334
Ghana	GHA	2014	4628.9014	28196356	1.9257805	63	4.633
Malawi	MWI	2011	1383.5809	15146095	2.2646103	57.5	4.623671
Tajikistan	TJK	2011	2481.572	7784820	1.6185347	68.1	4.613789
Bangladesh	BGD	2016	4589.0938	159784576	2.247401	71.1	4.608
Kenya	KEN	2020	4498.383	51985780	3.5759778	62.7	4.6066
Uganda	UGA	2021	2246.414	45853780	8.531467	62.7	4.6026
Tunisia	TUN	2020	10050.046	12161720	4.6210556	75.3	4.5965
Albania	ALB	2017	12773.269	2879361	2.01434	79	4.586
Lebanon	LBN	2020	13780.958	5662924	2.2603166	77.8	4.5838
Kenya	KEN	2019	4601.2114	50951452	3.0931406	62.9	4.583
Azerbaijan	AZE	2011	13913.837	9359018	2.2545109	70	4.581938
Namibia	NAM	2020	9048.184	2489099	12.173084	62.8	4.5741
Namibia	NAM	2019	10009.578	2446648	13.038265	63.1	4.5711
India	IND	2014	5071.047	1307246464	3.6225762	69.1	4.565
Serbia	SRB	2011	14926.494	7620925	1.6927093	74.8	4.564279
Mongolia	MNG	2011	8685.78	2743946	9.694098	67.4	4.562082
Ukraine	UKR	2019	12804.955	44211100	4.116614	74.5	4.5607
Armenia	ARM	2018	13231.431	2836563	1.7627003	75.1	4.5594
Palestine	PSE	2011	5782.6895	4087747	0.7339011	73.2	4.55501
Kenya	KEN	2016	4244.8574	47894668	4.933743	62.2	4.553
Palestine	PSE	2019	6245.4487	4909775	0.7128637	75.2	4.5528
Myanmar	MMR	2016	4109.5576	51892352	2.5803418	65.7	4.545
Kenya	KEN	2021	4743.4863	53005616	5.274913	61.4	4.543
Georgia	GEO	2018	14253.409	3772323	2.3592877	73.3	4.5191
Haiti	HTI	2014	3106.9849	10412741	9.411548	63	4.518
Palestine	PSE	2020	5402.5386	5019407	0.9562893	74.4	4.5167
Pakistan	PAK	2021	5232.1426	231402112	3.9787881	66.1	4.5158
Nepal	NPL	2014	3152.2932	27462110	2.0318909	68.1	4.514
Cameroon	CMR	2015	3614.7556	23012650	3.741421	59.7	4.513
Kenya	KEN	2018	4464.813	49953300	3.1409333	62.7	4.5086
Bangladesh	BGD	2017	4830.776	161793968	2.1935306	71.8	4.5004
Mauritania	MRT	2018	5367.2163	4270717	1.241011	65.3	4.4903
Palestine	PSE	2021	5643.0723	5133393	0.8766134	73.5	4.4825
Nepal	NPL	2011	2763.8289	27266398	2.4902444	67.3	4.474119
Armenia	ARM	2011	9551.158	2928984	2.4240553	73.3	4.473529
Sri Lanka	LKA	2017	13584.193	21506816	2.2597492	75.4	4.4706
Namibia	NAM	2021	9137.797	2530150	12.449852	59.3	4.4594
South Africa	ZAF	2015	13887.211	55876504	33.41834	63.9	4.459
Bangladesh	BGD	2018	5124.4985	163683952	2.339875	72.6	4.4558
Yemen	YEM	2011		25475608	5.3973193	67.4	4.453632
Sri Lanka	LKA	2016	12904.854	21425494	2.4736886	75.3	4.44
Uganda	UGA	2019	2250.015	42949076	10.985102	63	4.432
Myanmar	MMR	2020	4947.0938	53423200	2.94067	66.8	4.4258
Egypt	EGY	2017	10435.917	101789384	1.3360921	71.3	4.4192
Kenya	KEN	2014	4055.1133	45831860	5.029252	61.8	4.419
Sri Lanka	LKA	2015	12420.553	21336692	2.2824526	74.9	4.415
Kenya	KEN	2017	4312.9087	48948140	5.0379853	62.5	4.4097
India	IND	2015	5411.8755	1322866560	3.3543067	69.6	4.404
Eswatini	SWZ	2021	8856.829	1192273	12.664906	57.1	4.3961
Myanmar	MMR	2015	3748.2942	51483956	2.5289435	65.6	4.395
Jordan	JOR	2020	9203.376	10928723	0.98822176	75.2	4.3946
Myanmar	MMR	2021	4032.6257	53798088	28.437815	65.7	4.3942
Tunisia	TUN	2019	11100.82	12049319	4.738859	76	4.3922
Armenia	ARM	2016	11580.384	2865841	3.0357645	74.7	4.376
Cameroon	CMR	2011	3314.8982	20448880	4.0833545	57.1	4.375735
Mauritania	MRT	2019	5505.6465	4383853	1.0949284	65.7	4.3746
North Macedonia	MKD	2011	13809.965	2097110	1.4305472	75.2	4.369255
Sri Lanka	LKA	2018	13753.055	21580712	2.3817568	75.7	4.3659
Egypt	EGY	2015	9999.19	97723792	1.750853	70.5	4.362
Myanmar	MMR	2018	4556.2812	52666016	2.7569962	66.5	4.3604
Armenia	ARM	2015	11506.039	2878598	2.6054382	74.4	4.36
Kenya	KEN	2015	4163.925	46851496	4.825887	61.9	4.356
Armenia	ARM	2014	11105.532	2889937	2.4914103	74.1	4.35
Georgia	GEO	2017	13589.707	3771904	2.4125772	73.6	4.3405
Ukraine	UKR	2018	12336.927	44446952	4.5042458	74.4	4.3322
Sri Lanka	LKA	2019	13639.021	21649664	3.427305	76	4.327
Armenia	ARM	2017	12509.64	2851929	2.4544842	74.9	4.3206
India	IND	2016	5789.678	1338636288	3.1614263	70.1	4.315
Uganda	UGA	2011	1996.0656	33295738	11.271713	58	4.313321
Myanmar	MMR	2019	4829.5366	53040212	2.863865	66.6	4.308
Myanmar	MMR	2017	4312.9473	52288344	2.6621614	65.8	4.3078
Myanmar	MMR	2014	3658.5935	51072436	2.408344	65.1	4.307
Georgia	GEO	2016	12963.744	3771112	1.0341783	73.6	4.286
Ghana	GHA	2015	4616.6196	28870946	1.8184376	63.2	4.276
Sri Lanka	LKA	2014	12029.375	21239448	2.6036446	74.7	4.271
Sri Lanka	LKA	2011	10190.35	20859746	3.5091517	73.4	4.25961
Afghanistan	AFG	2011	1961.0963	29249156	4.208668	61.4	4.25835
Mauritania	MRT	2020	5314.8496	4498605	1.0225395	64.5	4.2274
Bulgaria	BGR	2014	19206.262	7372142	1.5192329	74.5	4.218
Bulgaria	BGR	2015	19991.818	7309255	1.7238423	74.6	4.217
Egypt	EGY	2014	9793.955	95592328	3.0232553	70.4	4.194
India	IND	2017	6112.0664	1354195712	3.0288827	70.5	4.1898
Uganda	UGA	2018	2186.9072	41515400	10.832127	62.7	4.1894
Kenya	KEN	2011	3824.1975	42635148	5.3265915	61	4.180273
Angola	AGO	2011	7664.44	24259120	4.3488812	57.6	4.17838
Uganda	UGA	2017	2128.397	40127096	11.80001	62.1	4.1608
Jordan	JOR	2021	9223.147	11148288	1.0225796	74.3	4.1521
Niger	NER	2011	1010.32697	17283118	4.8081617	59	4.121817
Ghana	GHA	2016	4662.011	29554298	1.8575976	63.9	4.12
Ukraine	UKR	2017	11860.561	44657260	6.160253	74.7	4.1029
Cambodia	KHM	2011	2856.5308	14573894	1.8389057	68.4	4.100715
Uganda	UGA	2016	2137.2073	38748308	11.566959	61.6	4.081
Liberia	LBR	2011	1475.8392	4181148	3.8506157	59.6	4.039651
Haiti	HTI	2015	3141.0469	10563762	10.138438	63.2	4.028
India	IND	2018	6436.1533	1369003264	2.993784	70.7	4.0152
Uganda	UGA	2014	2067.7954	36336544	12.309923	60.4	3.931
Bulgaria	BGR	2011	18664.834	7543128	1.6969084	74.2	3.889474
Angola	AGO	2015	7967.104	28127724	4.4582353	60.7	3.866
Sierra Leone	SLE	2020	1586.196	8233973	2.1374865	59.8	3.8494
India	IND	2020	6114.0317	1396387072	2.9111555	70.1	3.8189
Tanzania	TZA	2011	2064.7107	46416032	8.938722	61	3.800163
Angola	AGO	2016	7488.1387	29154742	4.102248	61.1	3.795
Afghanistan	AFG	2016	2101.422	34636212	6.6924186	63.1	3.794
Haiti	HTI	2011	3047.2747	9954318	9.181951	61.6	3.788652
India	IND	2021	6592.042	1407563904	2.9362788	67.2	3.7771
Tanzania	TZA	2015	2306.6382	52542824	7.1294227	64.7	3.666
Zimbabwe	ZWE	2018	2399.6216	15052191	4.876369	61.4	3.6632
Afghanistan	AFG	2017	2096.093	35643420	6.8006945	63	3.6315
Tanzania	TZA	2020	2551.2063	61704520	3.704753	66.4	3.6232
Haiti	HTI	2020	2959.0894	11306804	11.32062	64.1	3.6149
Haiti	HTI	2016	3153.1763	10713845	9.595058	63.4	3.603
Haiti	HTI	2018	3197.1414	11012427	6.746927	64	3.5969
Sierra Leone	SLE	2011	1450.4935	6612390	2.8280268	54.6	3.585802
India	IND	2019	6608.624	1383112064	2.926661	70.9	3.5733
Rwanda	RWA	2015	1844.7169	11642963	2.5165424	65.3	3.515
Tanzania	TZA	2019	2577.6658	59872584	4.541311	67	3.4762
Botswana	BWA	2021	14840.913	2588424	10.546963	61.1	3.4711
Rwanda	RWA	2016	1907.6816	11930902	3.2855864	65.7	3.471
Botswana	BWA	2020	13545.674	2546404	8.678912	65.6	3.4665
Rwanda	RWA	2014	1735.5454	11368450	3.7648048	64.9	3.465
Rwanda	RWA	2020	2067.6416	13146367	3.590347	66.8	3.4147
Rwanda	RWA	2017	1934.9729	12230343	3.8429024	65.9	3.4081
Afghanistan	AFG	2015	2108.714	33753500	9.975262	62.7	3.36
Tanzania	TZA	2016	2380.9314	54401804	6.3214817	65.4	3.349
Rwanda	RWA	2018	2050.441	12531810	2.274213	66.3	3.3338
Rwanda	RWA	2019	2191.4016	12835029	3.1476364	66.4	3.3123
Tanzania	TZA	2017	2458.3428	56267040	5.592973	66	3.3035
Zimbabwe	ZWE	2019	2203.3967	15354606	5.1450353	61.3	3.2992
Tanzania	TZA	2018	2510.9663	58090444	4.706454	66.5	3.2307
Afghanistan	AFG	2018	2060.699	36686788	6.7435727	63.1	3.2033
Zimbabwe	ZWE	2020	1990.3195	15669663	4.9777703	61.1	3.1448
Zimbabwe	ZWE	2021	2115.1445	15993525	6.139985	59.3	2.9951
Burundi	BDI	2016	764.3366	10903329	5.82391	60.8	2.905
Burundi	BDI	2015	781.5793	10727153	4.2975073	60.2	2.905
Burundi	BDI	2014	831.29486	10494920	5.3740325	59.9	2.905
Afghanistan	AFG	2019	2079.9219	37769496	7.180397	63.6	2.5669
Afghanistan	AFG	2020	1968.341	38972236	6.594439	62.6	2.5229
Afghanistan	AFG	2021	1516.3057	40099460	4.0224977	62	2.4038
